"Date","Search Engine","Keyword","Keyword Group","Website","URL","Position","Best","Competition","Average monthly searches","CPC","Page","Type","Snippet","Local Searches","Estimated Daily Traffic"
"2022-09-23","Google.com-EN Universal","gkn powder metallurgy","-","reliance-foundry.com/","","-","-","Low","210","$2.61","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","gkn powder metallurgy","-","sintermetal.dk/","","-","-","Low","210","$2.61","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","fj industries","-","fji.dk/","https://www.fji.dk/about-us/history/","2","1","-","10","$0.00","1","Sitelinks","-","-","0.105376"
"2022-09-23","Google.com-EN Universal","investment cast products","-","reliance-foundry.com/","https://www.reliance-foundry.com/blog/benefits-investment-casting","14","4","Medium","50","$0.89","1","Image","-","-","0.0970825"
"2022-09-23","Google.com-EN Universal","gkn powder metallurgy","-","wikipedia.com","","-","-","Low","210","$2.61","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","gkn powder metallurgy","-","facturee.de/","","-","-","Low","210","$2.61","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","gkn powder metallurgy","-","pretek.dk/","","-","-","Low","210","$2.61","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","gkn powder metallurgy","-","inopowders.com/","","-","-","Low","210","$2.61","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","best investment casting part factory","-","milwaukeeprec.com/","https://www.milwaukeeprec.com/investment-castings.html","48","48","-","0","$0.00","5","Organic","FAQ","-","-"
"2022-09-23","Google.com-EN Universal","china smc powder metallurgy","-","custompartnet.com/","","-","-","-","0","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","manufacturer of small metal parts italy","-","bessercasting.com/","","-","-","-","0","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","china smc powder metallurgy","-","gtbcomponents.co.uk/","","-","-","-","0","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","manufacturer of small metal parts italy","-","custompartnet.com/","","-","-","-","0","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","manufacturer of small metal parts italy","-","gtbcomponents.co.uk/","","-","-","-","0","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","china smc powder metallurgy","-","bessercasting.com/","","-","-","-","0","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","china smc powder metallurgy","-","metaltek.com/","","-","-","-","0","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","manufacturer of small metal parts italy","-","milwaukeeprec.com/","","-","-","-","0","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","china smc powder metallurgy","-","fji.dk/","","-","-","-","0","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","manufacturer of small metal parts italy","-","metaltek.com/","","-","-","-","0","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","manufacturer of small metal parts italy","-","fji.dk/","","-","-","-","0","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","china smc powder metallurgy","-","milwaukeeprec.com/","","-","-","-","0","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","designing for steel sand casting","-","custompartnet.com/","https://www.custompartnet.com/wu/SandCasting","10","10","-","0","$0.00","1","Organic","-","-","-"
"2022-09-23","Google.com-EN Universal","advantages of sand casting","-","sintermetal.dk/","","-","-","-","40","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","machine components","-","reliance-foundry.com/","","-","-","Low","320","$9.42","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","advantages of sand casting","-","pretek.dk/","","-","-","-","40","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","machine components","-","inopowders.com/","","-","-","Low","320","$9.42","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","advantages of sand casting","-","inopowders.com/","","-","-","-","40","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","machine components","-","pretek.dk/","","-","-","Low","320","$9.42","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","advantages of sand casting","-","wikipedia.com","","-","-","-","40","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","machine components","-","facturee.de/","","-","-","Low","320","$9.42","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","advantages of sand casting","-","facturee.de/","","-","-","-","40","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","machine components","-","sintermetal.dk/","","-","-","Low","320","$9.42","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","machine components","-","wikipedia.com","","-","-","Low","320","$9.42","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","metal powder manufacturer","-","reliance-foundry.com/","","-","-","Medium","170","$9.34","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","metal powder manufacturer","-","inopowders.com/","","-","-","Medium","170","$9.34","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","metal powder manufacturer","-","sintermetal.dk/","","-","-","Medium","170","$9.34","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","metal powder manufacturer","-","wikipedia.com","","-","-","Medium","170","$9.34","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","metal powder manufacturer","-","pretek.dk/","","-","-","Medium","170","$9.34","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","metal powder manufacturer","-","facturee.de/","","-","-","Medium","170","$9.34","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","powder bed direct metal laser sintering","-","custompartnet.com/","https://www.custompartnet.com/wu/direct-metal-laser-sintering","21","21","-","0","$0.00","2","Organic","-","-","-"
"2022-09-23","Google.com-EN Universal","sintered filter disc factory","-","pretek.dk/","","-","-","Low","10","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","sintered filter disc factory","-","facturee.de/","","-","-","Low","10","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","sintered filter disc factory","-","wikipedia.com","","-","-","Low","10","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","best investment casting products factory","-","custompartnet.com/","","-","-","-","0","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","best investment casting products factory","-","gtbcomponents.co.uk/","","-","-","-","0","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","best investment casting products factory","-","fji.dk/","","-","-","-","0","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","iron based materials","-","sintermetal.dk/","","-","-","-","10","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","keystone powder metal","-","reliance-foundry.com/","","-","-","Low","320","$2.51","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","iron based materials","-","wikipedia.com","","-","-","-","10","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","keystone powder metal","-","inopowders.com/","","-","-","Low","320","$2.51","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","keystone powder metal","-","sintermetal.dk/","","-","-","Low","320","$2.51","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","keystone powder metal","-","wikipedia.com","","-","-","Low","320","$2.51","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","iron based materials","-","reliance-foundry.com/","","-","-","-","10","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","iron based materials","-","inopowders.com/","","-","-","-","10","$0.00","-","-","-","-","-"
"2022-09-23","Google.com-EN Universal","keystone powder metal","-","pretek.dk/","","-","-","Low","320","$2.51","-","-","-","-","-"
