"Date","Search Engine","Keyword","Keyword Group","Website","URL","Position","Best","Competition","Average monthly searches","CPC","Page","Type","Snippet","Local Searches","Estimated Daily Traffic"
"2022-07-12","Google.dk-DA Universal","grangers wash and repel","-","westgun.dk/","","-","-","High","30","0,51 €","-","-","-","-","-"
"2022-07-12","Google.dk-DA Universal","grangers wash and repel","-","b-wild.dk/","","-","-","High","30","0,51 €","-","-","-","-","-"
"2022-07-12","Google.dk-DA Universal","grangers wash and repel","-","iversen-import.dk/","","-","-","High","30","0,51 €","-","-","-","-","-"
"2022-07-12","Google.dk-DA Universal","grangers wash and repel","-","jafi.dk/","","-","-","High","30","0,51 €","-","-","-","-","-"
"2022-07-12","Google.dk-DA Universal","grangers wash and repel","-","biltema.dk/","","-","-","High","30","0,51 €","-","-","-","-","-"
"2022-07-12","Google.dk-DA Universal","grangers wash and repel","-","vildmarks.dk/","","-","-","High","30","0,51 €","-","-","-","-","-"
"2022-07-12","Google.dk-DA Universal","grangers wash and repel","-","landogfritid.dk/","","-","-","High","30","0,51 €","-","-","-","-","-"
"2022-07-12","Google.dk-DA Universal","skovmandsskjorte herre tilbud","-","da.harkila.com/","","-","-","High","70","0,47 €","-","-","-","-","-"
"2022-07-12","Google.dk-DA Universal","grangers wash and repel","-","sie-hunting.com/","","-","-","High","30","0,51 €","-","-","-","-","-"
"2022-07-12","Google.dk-DA Universal","skovmandsskjorte herre tilbud","-","sitkagear.com/","","-","-","High","70","0,47 €","-","-","-","-","-"
"2022-07-12","Google.dk-DA Universal","grangers wash and repel","-","godsejeren.dk/","","-","-","High","30","0,51 €","-","-","-","-","-"
"2022-07-12","Google.dk-DA Universal","skovmandsskjorte herre tilbud","-","deerhunter.eu/da/","","-","-","High","70","0,47 €","-","-","-","-","-"
"2022-07-12","Google.dk-DA Universal","læder jagttaske","-","scanjagt.com/","","-","-","High","10","0,29 €","-","-","-","-","-"
"2022-07-12","Google.dk-DA Universal","canadisk skovmandsskjorte","-","hart-outdoor.com/","","-","-","High","90","0,45 €","-","-","-","-","-"
"2022-07-12","Google.dk-DA Universal","læder jagttaske","-","friluft.dk/","","-","-","High","10","0,29 €","-","-","-","-","-"
